,0,1,2,3
103,25.59000015,0.00598,2498.327681,53.16999817
104,39.90499878,0.00243,5699.588478,39.79000092
105,40.22999954,0.006,13568.33394,38.65000153
106,27.29000092,0.00355,19692.95904,31.52000046
107,37.86000061,0.00507,15386.58767,24.97999954
108,54.86000061,0.00704,13815.34129,48.66999817
109,55.27999878,0.0036,13383.33377,35.88000107
110,22.30500031,0.00403,12970.22276,32.70000076
111,37.64500046,0.00401,13004.98717,35.97000122
112,36.45500183,0.00526,11340.30398,41.31000137
113,27.34000015,0.00415,22265.0601,25.51000023
114,46.75500107,0.00481,12064.44895,39.77000046
115,24.375,0.00267,11235.95474,24.38999939
116,47.68500137,0.0045,17868.8897,40.88999939
117,65.32499695,0.0047,3965.957478,41.93999863
118,19.56500053,0.00207,6159.420488,24.70000076
119,53.72000122,0.00359,2696.37898,48
120,32.29499817,0.00519,12662.8132,36.25
121,27.29999924,0.00408,10296.56841,54.36999893
122,46.72999954,0.00411,16413.62455,36.54000092
123,57.93999863,0.00582,11434.70809,51.47999954
124,43.70500183,0.00563,15547.06874,39.24000168
125,31.23500061,0.00411,14600.97235,29.15999985
126,36.38000107,0.00363,16589.53149,30.42000008
127,41.47499847,0.00431,21767.98166,40.68999863
128,49.51499939,0.00357,12442.57675,28.44000053
129,45.39500046,0.00467,11175.58839,40.22999954
130,26.42000008,0.00258,17313.95329,22.12999916
131,60.16500092,0.00279,20953.40498,33.02000046
132,48.54999924,0.00397,3176.322309,44.43999863
133,23.35499954,0.00567,2509.700062,44.66999817
134,55.34500122,0.00326,3858.895693,40.15000153
135,69.15499878,0.0044,5084.09099,40.47999954
136,27.72999954,0.00699,2862.661071,54.52000046
137,96.40499878,0.00403,7379.652164,39.20000076
138,68.89499664,0.0042,5892.85741,43.81999969
139,48.58499908,0.00445,5065.168962,50.31000137
140,53.45500183,0.00517,7514.506364,37.61999893
141,50.59999847,0.00485,6391.752703,41.97000122
142,69.27999878,0.00727,5328.748525,49.00999832
143,50.73500061,0.00628,5589.171545,32.77999878
144,66.97000122,0.00705,4968.794019,33.65000153
145,21.17000008,0.02285,727.3523222,46.77999878
146,72.48999786,0.00765,5466.666559,32.06000137
147,114.8349991,0.00319,4090.909077,36.59999847
148,149.7350006,0.00298,1859.060378,43.84000015
149,60.23500061,0.00418,4066.985813,35.99000168
150,71.48000336,0.00419,5861.574971,39.49000168
151,27.72500038,0.00689,4706.821616,54.50999832
152,70.81500244,0.00491,7853.361013,31.62999916
153,111.8949966,0.0053,5716.980782,48.11000061
154,23.37000084,0.01074,4595.903321,52
155,93.36000061,0.00446,10943.9464,31.82999992
156,76.97499847,0.00633,5897.314736,34.36000061
157,62.59500122,0.00906,1913.907213,52.88000107
158,70.19999695,0.00384,11583.33347,31.62000084
159,133.3249969,0.00429,6599.067533,38.34000015
160,25.58499908,0.0097,4019.587881,33.61000061
161,99.44000244,0.00486,6343.621209,39.97999954
162,69.25499725,0.00455,4676.923032,29.52000046
163,23.02499962,0.01325,2927.547239,43.61000061
164,123.5500031,0.0044,3599.999957,39.63000107
165,36.74499893,0.00392,16614.79489,38.16999817
166,27.23999977,0.00074,76797.29878,15.68000031
167,38.22000122,0.004,20684.99947,35.18999863
168,52.66999817,0.00569,16254.8325,49.25
169,59,0.00363,22851.23811,35.54000092
170,23.59000015,0.00354,18008.47477,30.88999939
171,31.13999939,0.00301,24425.24813,41.22999954
172,38.89500046,0.00281,14743.77265,40.56999969
173,34.48500061,0.00419,20491.64664,28.87000084
174,43.27999878,0.00419,12973.74699,36.52000046
175,23.73999977,0.00223,23636.77069,23.05999947
176,52.06499863,0.00352,20076.70413,31.78000069
177,48.63000107,0.00355,3983.098742,44.06999969
178,21.20000076,0.00507,3761.341035,43.90000153
179,65.54499817,0.00283,4862.191025,44.15000153
180,67.93499756,0.00519,7524.084548,32.72000122
181,27.72500038,0.00652,5180.981423,54.49000168
182,62.92499924,0.00401,7995.012355,32.74000168
183,96.70500183,0.00358,9818.43639,34.77999878
184,24.66500092,0.01206,5077.943578,54.22999954
185,75.25499725,0.00596,6395.972934,43.29000092
186,122.4400024,0.00337,6264.095349,42.49000168
187,60.44499969,0.0047,8559.574718,47.33000183
188,51.50999832,0.00527,6222.011581,43.52999878
189,107.1549988,0.00225,11142.22209,21.92000008
190,27.29500008,0.01416,3181.497156,33.65000153
191,72.44999695,0.0054,7399.9997,36.54999924
192,74.54000092,0.00466,8190.987,25.38999939
193,20,0.01581,3018.342818,47.22999954
194,147.2850037,0.00406,3463.054339,43.75
195,49.26499939,0.00522,6909.961905,31.56999969
196,27.72500038,0.00565,4853.097277,54.45999908
197,62.63999939,0.0053,10943.39583,38.02000046
198,53.38499832,0.00508,9942.913205,44.93999863
199,37.09500122,0.00673,5383.358015,42.00999832
200,30.76499939,0.00605,7494.214665,32.27999878
201,61.98500061,0.00412,16849.51459,26.12999916
202,36.84500122,0.00451,6853.658155,47.86999893
203,57.04499817,0.00494,10767.20608,27.25
204,114.5500031,0.00287,6505.226767,44.04999924
205,25.34499931,0.0057,3812.280749,33.02000046
206,52.75500107,0.00438,9993.150528,31.80999947
207,68.44499969,0.00224,33218.75149,20.80999947
208,21.26000023,0.01842,2964.169286,47.16999817
209,141,0.00708,2252.824856,42.45000076
210,44.94499969,0.00344,11470.92978,36.50999832
211,27.72500038,0.00648,6790.123437,54.45999908
212,53.72999954,0.00392,14084.18317,30.63999939
213,98.45999908,0.0048,7612.499888,50.22999954
214,27.92499924,0.00791,4687.737364,54.40999985
215,25.94000053,0.0049,8897.958699,35.00999832
216,60.86500168,0.00374,7139.037619,33.33000183
217,77.5,0.00418,10715.31166,51.18000031
